product_name,categories,brands,quantity,packaging,labels,ingredients_text,nutriments_energy_kcal,nutriments_fat,nutriments_saturated_fat,nutriments_carbohydrates,nutriments_sugars,nutriments_proteins,nutriments_fiber,nutriments_salt,nutriments_sodium,nutrition_grade,price
Weetabix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",Weetabix,430 g,"Box, Container, Card-box, Paper-sleeve","Low or no fat,Low or no salt,Low or no sugar,Low fat,Low salt,Low sugar,Vegetarian,Vegan,Verified","Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",358,2.11,0.526,68.4,4.21,11.8,10,0.257,0.103,a,
cruesly mélange de noix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Crunchy cereal clusters,Cereal clusters with nuts",Quaker,450 g,"Sachet,Boîte","No artificial flavors,No preservatives,Green Dot,No colorings,No palm oil,Nutriscore,Nutriscore Grade A,Triman","_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",462,19,2,57,12,8.5,10,0,0,b,
Family Pack,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner riches en fibres",Weetabix,860 g,"Boîte, Carton, en:card-box, en:mixed plastic-bag","Végétarien,Kascher,Source de fibres alimentaires,Assured Food Standards,Union Végétarienne Européenne,Point Vert,Riche en fibres,Beth Din de Londres,Nutriscore,Nutriscore A","Wholegrain _Wheat_ (95%), Malted _Barley_ Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",362,2,0.6,69,4.2,12,10,0.28,0.112,a,
Aveia em flocos finos Lidl,"Alimente și băuturi pe bază de plante,Alimente pe bază de plante,en:Breakfasts,Cereale și cartofi,en:Cereals and their products,en:Breakfast cereals,en:Flakes,en:Cereal flakes,en:Extruded flakes,en:Rolled flakes,en:Rolled oats,Cereale",CROWNFIELD,500g,"22 PAP,Bolsa","DLG,DLG Goldener Preis,Ballaststoffquelle,DLG Goldener Preis 2014,Grüner Punkt,Ballaststoffreich,Nutriscore,Nutriscore Note A,Triman,en:Verified,es:recicla-azul,fr:medaille-d-or-de-la-societe",100 % wholemeal oat flakes,372,7,1.25,58.8,0.75,13.5,10,0.025,0.01,a,
Flocons d'avoine,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats",Bjorg,500 g,"pet-bottle, hdpe-cap, en:paper-carton","Organic,Certified by Ecocert,EU Organic,Source of fibre,Certified B Corporation,DE-ÖKO-001,EU Agriculture,High fibres,Made in Germany,AB Agriculture Biologique,Triman,fr:Riche en magnésium",Flocons d'_avoine_ complète issue de l'agriculture biologique.,362,7.1,1.3,58,1.7,11,11,0.02,0.008,a,
Croustillant Chocolat,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate",Bjorg,500 g,Bag,"Organic,EU Organic,Non-EU Agriculture,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,No palm oil,AB Agriculture Biologique,Triman,fr:Entreprise-b,fr:Planet,Nutriscore Grade B","Flocons d'avoine complète, Flocons de blé complet, Chocolat noir 8% (pâte de cacao, sucre de canne non raffiné, beurre de cacao), Riz extrudé (farine de riz), Sucre de canne non raffiné, Farine de blé, Huile de tournesol, Miel, Stabilisant: gomme d'acacia, Mélasses, Flocons de noix de coco, Sel marin, Cannelle, Antioxydant: extrait riche en tocophérols.",433,14,3.8,62,14,9.8,9.8,0.28,0.112,c,
Weetabix produit à base de blé complet 100%,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Breakfast cereals rich in fibre,fr:Weetabix",Weetabix,430g,Cardboard,"Low or no fat,Low or no sugar,Low fat,Low sugar,Vegetarian,Source of fibre,Vegan,High fibres,Nutriscore,Nutriscore Grade A","_Blé_ complet (95%), extrait d'_orge_ maltée, sucre, sel, niacine, fer, vitamines B2, vitamines B1, vitamines B9.",362,2,0.53,69,4.2,12,10,0.26,0.104,a,
36 Wheat Bisks,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales",Harvest Morn,684 g,"Card-box, Mixed plastic-wrapper","Végétarien,Végétalien","whole wheat (95%), barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid,",353,2.11,0.526,68.4,4.47,11.8,10,0.257,0.103,a,
"Muesli Raisin, Figue, Abricot","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",Bjorg,375 g,,"Organic,Certified by Ecocert,EU Organic,Non-EU Agriculture,Source of fibre,Certified B Corporation,DE-ÖKO-001,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,GB-ORG-05,High fibres,No added sugar,AB Agriculture Biologique,fr:Céréales complètes,fr:Planet Score,fr:Planet Score A","Flocons d'avoine* complète, Flocons de blé* complet, Raisins 8% (raisins*, huile de tournesol*), Figues* séchées 8% (figues*, farine de riz*), Flocons d'épeautre* complet, Pétales de maïs*, Dattes* 4 % (dattes*, farine de riz*), Abricots* secs 3% (abricots*, farine de riz*), Graines de tournesol*, Pétales d'épeautre* complet, Graines de lin*, Graines de courge*.
 Peut contenir des traces de lait, de fruits à coque, de graines de sésame et de soja. *Ingrédients biologiques.",352,5.8,0.9,59,14,11,10,0.03,0.012,a,
Special Muesli 30% fruits & noix,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits,Müesli",Jordans,750 g,"Etui en carton,Sachet en plastique,Sachet en plastique à jeter,Étui en carton à recycler","Low or no salt,Vegetarian,No artificial flavors,No preservatives,Source of fibre,High fibres,Iron source,Magnesium source,No added salt,No added sugar,No colorings,No palm oil,Nutriscore,Nutriscore Grade A,Phosphore source,Rich in vitamin B1,Triman,fr:Source-de-potassium","Céréales complètes (59%) (flocons d'_avoine_, flocons de _blé_, flocons de _blé_ grillés), fruits secs (raisins secs, raisins de sultanine, abricots secs hachés, tranches de pommes séchées, éclats de noix de coco grillés), noix (_noisettes_ hachées grillées, _amandes_ effilées), flocons d'_orge_, graines de tournesol.",362,7.2,2,60,17,10,8.8,0.03,0.012,a,
Quaker Rolled Oats,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats",Quaker,1kg,"Carte,en:Card-box","Vegetarian, Source of fibre, Vegan, No added sugar, 100% whole grain, No artificial",100% rolled oats,368,8.5,1.75,63,1,12.3,10,0.00625,0.0025,a,
"Muesli SuperFruits Raisins, cassis,cranberry, myrtille","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",Bjorg,375g,fr:Sachet plastique à jeter,"Organic,Certified by Ecocert,EU Organic,Non-EU Agriculture,Source of fibre,DE-ÖKO-001,EU Agriculture,EU/non-EU Agriculture,Green Dot,High fibres,Made in Germany,No added sugar,Nutriscore,Nutriscore Grade A,AB Agriculture Biologique,fr:Entreprise Certifiée B","Flocons d'avoine* complète, Raisins secs* 16% (raisins secs*, huile de tournesol*), Flocons de blé* complet, Flocons d'épeautre complet* (blé), Flocons de blé, Amandes entières*, Cassis lyophilisés* 1%, Cranberries lyophilisées* 0,6%, Myrtilles lyophilisées* 0,5%. Peut contenir des traces de lait, d'autres fruits à coque, de graines de sésame, de soja. *Ingrédients biologiques.",358,6,0.9,60,13,11,10,0.04,0.016,a,
Corn Flakes,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes",Kellogg's,500 g,"1 Boîte en carton,1 Sachet plastique","Vegetarian, Halal, Kosher, No artificial flavors, Green Dot, Halal Food Authority, Manchester Beth Din, No colorings, Triman","corn, sugar, aroma of malt of barley, salt, vitamins and minerals : vitamin b3/pp, vitamin b6, vitamin b2, vitamin b1, vitamin b9, vitamin d, vitamin b12, iron,",378,0.9,0.2,84,8,7,3,1.1,0.44,d,
Flocons d'avoine complète,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Flocons laminés,Flocons d'avoine",Quaker,550 g,"Boîte,Carton,en:pack,en:Green dot,en:Triman,Boîte de carton,Etui en carton,Pensez au tri!","Sans conservateurs,Source de fibres alimentaires,100% naturel,Riche en fibres,Sans sucre ajouté,Nutriscore,Nutriscore A,Triman",100% Flocons d'avoine.,375,8,1.5,60,1.1,11,9,0.01,0.004,a,
