Title,Sub Category,Price,OriginalPrice,Discount,Rating,Product Description
Whole Wheat Atta 5 kg,Oils & Ghee,774.57,774.57,0%,4.6,Whole Wheat Atta 5 kg made from premium ingredients to ensure best taste.
Basmati Rice 5 kg,Kitchen Supplies,190.92,190.92,0%,,Basmati Rice 5 kg — value pack with guaranteed freshness.
Organic Brown Rice 1 kg,Beverages,782.09,977.61,20%,,Organic Brown Rice 1 kg with no artificial preservatives.
Toor Dal 1 kg,Dairy,1937.12,1937.12,0%,4.1,Toor Dal 1 kg with no artificial preservatives.
Moong Dal 1 kg,Rice & Grains,1396.22,1994.6,30%,4.1,"Premium grade Moong Dal 1 kg, loved by customers."
Chana Dal 1 kg,Kitchen Supplies,285.54,317.27,10%,4.7,Chana Dal 1 kg made from premium ingredients to ensure best taste.
Masoor Dal 1 kg,Convenience Foods,1632.93,1632.93,0%,4.1,Masoor Dal 1 kg made from premium ingredients to ensure best taste.
Sugar 1 kg,Bakery,702.65,739.63,5%,3.9,Rich in nutrients and ideal for family consumption: Sugar 1 kg.
Salt Iodized 1 kg,Frozen,1966.88,1966.88,0%,3.5,Rich in nutrients and ideal for family consumption: Salt Iodized 1 kg.
Refined Sunflower Oil 1 L,Kitchen Supplies,2195.86,2195.86,0%,4.5,"Features: Good quality, see product label."
Mustard Oil 1 L,Spices,391.46,391.46,0%,4.6,Mustard Oil 1 L — value pack with guaranteed freshness.
Olive Oil Extra Virgin 500 ml,Kitchen Supplies,1022.53,1022.53,0%,5.0,High-quality Olive Oil Extra Virgin 500 ml suitable for everyday use.
Ghee Pouch 1 L,Oils & Ghee,415.99,415.99,0%,4.5,Ghee Pouch 1 L with authentic flavor and long shelf life.
Amul Paneer 200 g,Personal Care,658.48,731.64,10%,4.9,Amul Paneer 200 g with no artificial preservatives.
Toned Milk 1 L,Frozen,314.42,330.97,5%,4.2,Toned Milk 1 L with no artificial preservatives.
