RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,recipe,Unnamed: 1
1,Pani Puri,109,Chef Chen,87,8,95,2025-06-07,A delicious Indian dish featuring pani puri.,https://example.com/pani-puri.jpg,Dessert,"Indian, pani puri",1 cups rice,"tomato, vegetables",4.3,421,720,33,11,111,1035,73,14,14,16,3,3 servings,"Recipe for Pani Puri: Mix ingredients, cook for 87 minutes.",
2,Satay,101,Chef Raj,94,31,125,2025-07-09,A delicious Vietnamese dish featuring satay.,https://example.com/satay.jpg,Main Dish,"Vietnamese, satay",4 cups rice,"tomato, beef",4.2,386,543,10,19,102,571,42,5,23,15,7,7 servings,"Recipe for Satay: Mix ingredients, cook for 94 minutes.",
3,Pad Thai,112,Chef Liu,88,50,138,2025-06-17,A delicious Vietnamese dish featuring pad thai.,https://example.com/pad-thai.jpg,Appetizer,"Vietnamese, pad thai",3 cups chicken,"ginger, beef",4.8,389,397,33,17,143,434,82,14,7,13,8,8 servings,"Recipe for Pad Thai: Mix ingredients, cook for 88 minutes.",
4,Kung Pao Chicken,108,Chef Lee,69,35,104,2025-04-24,A delicious Chinese dish featuring kung pao chicken.,https://example.com/kung-pao-chicken.jpg,Main Dish,"Chinese, kung pao chicken",1 cups vegetables,"ginger, tofu",4.1,82,448,27,8,120,1753,74,14,7,38,8,8 servings,"Recipe for Kung Pao Chicken: Mix ingredients, cook for 69 minutes.",
5,Ramen,105,Chef Park,48,57,105,2025-05-12,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Side Dish,"Japanese, ramen",2 cups chicken,"onion, tofu",4.1,233,548,37,20,134,1384,43,3,15,12,6,6 servings,"Recipe for Ramen: Mix ingredients, cook for 48 minutes.",
6,Pad Thai,103,Chef Li,22,47,69,2024-11-08,A delicious Japanese dish featuring pad thai.,https://example.com/pad-thai.jpg,Main Dish,"Japanese, pad thai",2 cups rice,"onion, vegetables",4.7,405,605,29,7,74,650,94,13,23,35,7,7 servings,"Recipe for Pad Thai: Mix ingredients, cook for 22 minutes.",
7,Paneer Tikka,103,Chef Li,92,41,133,2024-11-18,A delicious Indian dish featuring paneer tikka.,https://example.com/paneer-tikka.jpg,Main Dish,"Indian, paneer tikka",3 cups spices,"ginger, tofu",4.3,275,541,29,13,26,1950,70,11,24,40,7,7 servings,"Recipe for Paneer Tikka: Mix ingredients, cook for 92 minutes.",
8,Sushi,110,Chef Kumar,75,35,110,2024-12-29,A delicious Japanese dish featuring sushi.,https://example.com/sushi.jpg,Main Dish,"Japanese, sushi",1 cups spices,"garlic, vegetables",4.2,287,756,30,15,134,568,64,9,15,27,4,4 servings,"Recipe for Sushi: Mix ingredients, cook for 75 minutes.",
9,Kimchi Jjigae,107,Chef Sharma,26,16,42,2024-11-02,A delicious Korean dish featuring kimchi jjigae.,https://example.com/kimchi-jjigae.jpg,Dessert,"Korean, kimchi jjigae",3 cups spices,"onion, tofu",4.6,125,737,38,12,126,1652,97,4,10,26,7,7 servings,"Recipe for Kimchi Jjigae: Mix ingredients, cook for 26 minutes.",
10,Wonton Soup,112,Chef Liu,104,8,112,2025-08-07,A delicious Chinese dish featuring wonton soup.,https://example.com/wonton-soup.jpg,Dessert,"Chinese, wonton soup",3 cups chicken,"ginger, chicken",4.3,207,582,40,17,76,776,95,8,23,13,7,7 servings,"Recipe for Wonton Soup: Mix ingredients, cook for 104 minutes.",
